metric,method,count,mean,variance,std,mean_pm_std
unsafe_ratio,eudm_ai,5,0.03734591626708408,0.0005320802528050304,0.023066864823920705,0.037346 +- 0.023067
unsafe_ratio,eudm_base,5,0.03961117424549262,0.0002766219358861017,0.01663195526347103,0.039611 +- 0.016632
unsafe_ratio,mpdm,5,0.039902260516287535,2.270230942325787e-05,0.004764694053478971,0.039902 +- 0.004765
average_velocity_mps,eudm_ai,5,13.929831054541571,0.10036247765524224,0.31680037508696585,13.929831 +- 0.316800
average_velocity_mps,eudm_base,5,13.216711286328623,0.0004788800728443985,0.021883328650925078,13.216711 +- 0.021883
average_velocity_mps,mpdm,5,13.101728975930552,1.0106897602132822e-05,0.0031791347253824933,13.101729 +- 0.003179
ud_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
ud_per_km,mpdm,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_ai,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,eudm_base,5,0.0,0.0,0.0,0.000000 +- 0.000000
lcc_per_km,mpdm,5,0.0,0.0,0.0,0.000000 +- 0.000000
distance_m,eudm_ai,5,1666.34625791224,1427.8589343105186,37.78702071228319,1666.346258 +- 37.787021
distance_m,eudm_base,5,1581.3287068772897,6.9747553633029,2.640976214073671,1581.328707 +- 2.640976
distance_m,mpdm,5,1567.3163566456988,0.21600237583989648,0.4647605575346261,1567.316357 +- 0.464761
frames,eudm_ai,5,11965.2,7.359999999999999,2.7129319932501073,11965.200000 +- 2.712932
frames,eudm_base,5,11966.0,5.2,2.280350850198276,11966.000000 +- 2.280351
frames,mpdm,5,11964.2,1.7600000000000002,1.32664991614216,11964.200000 +- 1.326650
