metric,method,count,mean,variance,std,mean_pm_variance,mean_pm_std
unsafe_ratio,eudm,5,0.07004644714959112,2.2678286384764955e-05,0.004762172443829072,0.070046 +- 0.000023,0.070046 +- 0.004762
unsafe_ratio,mpdm,5,0.02700540868881567,1.121330725179252e-06,0.0010589290463384467,0.027005 +- 0.000001,0.027005 +- 0.001059
average_velocity_mps,eudm,5,12.163014466953655,0.026887841730356476,0.16397512534026762,12.163014 +- 0.026888,12.163014 +- 0.163975
average_velocity_mps,mpdm,5,15.595379838726354,0.0038124400320972292,0.06174495956835043,15.595380 +- 0.003812,15.595380 +- 0.061745
ud_per_km,eudm,5,0.136201235149313,0.07420310582479384,0.272402470298626,0.136201 +- 0.074203,0.136201 +- 0.272402
ud_per_km,mpdm,5,0.9735540387828067,0.16532537254939533,0.40660222890362435,0.973554 +- 0.165325,0.973554 +- 0.406602
lcc_per_km,eudm,5,0.13867617584018982,0.07692432698263699,0.27735235168037964,0.138676 +- 0.076924,0.138676 +- 0.277352
lcc_per_km,mpdm,5,0.4308799019017762,0.16165932529371038,0.4020688066658621,0.430880 +- 0.161659,0.430880 +- 0.402069
distance_m,eudm,5,1442.611421185878,378.75748093954724,19.461692653506457,1442.611421 +- 378.757481,1442.611421 +- 19.461693
distance_m,mpdm,5,1850.5953096401215,47.50604198788449,6.892462693978437,1850.595310 +- 47.506042,1850.595310 +- 6.892463
frames,eudm,5,11857.6,47.440000000000005,6.887670143089026,11857.600000 +- 47.440000,11857.600000 +- 6.887670
frames,mpdm,5,11871.8,32.56,5.706137047074843,11871.800000 +- 32.560000,11871.800000 +- 5.706137
